,,,,,,,,,,,Control,,,,Treatment,,,,Experiment details,,,
ID,Citation,Continent,Climatic region,Country,Site,Measuring date,Treatment Type,Treatment scale,Response Variable,Source,Mean. Control,SE.Control,n.Control,SD.Control,Mean. Treatment,SE.Treatment,n.Treatment,SD.Treatment,Community type,Experimental method,,
33,Siemann et al. (2007),North America,Dry,USA,Coastal Center,2002,FertxFlood,GlobalxLocal,Soil C,Table,3.14,0.12,4,0.24,3.37,0.17,4,0.34,Natural grassland,,,
33,Siemann et al. (2007),North America,Dry,USA,Coastal Center,2002,Fert,Local,Soil C,Table,3.14,0.12,4,0.24,3.34,0.07,4,0.14,Natural grassland,,,
33,Siemann et al. (2007),North America,Dry,USA,Coastal Center,2002,Drought,Global,Soil N,Table,0.25,0.01,4,0.02,0.26,0.02,4,0.04,Natural grassland,,,
33,Siemann et al. (2007),North America,Dry,USA,Coastal Center,2002,Flood,Global,Soil N,Table,0.25,0.01,4,0.02,0.25,0.01,4,0.02,Natural grassland,,,
33,Siemann et al. (2007),North America,Dry,USA,Coastal Center,2002,DroughtxFert,GlobalxLocal,Soil N,Table,0.25,0.01,4,0.02,0.27,0.01,4,0.02,Natural grassland,,,
33,Siemann et al. (2007),North America,Dry,USA,Coastal Center,2002,FertxFlood,GlobalxLocal,Soil N,Table,0.25,0.01,4,0.02,0.27,0.01,4,0.02,Natural grassland,,,
33,Siemann et al. (2007),North America,Dry,USA,Coastal Center,2002,Fert,Local,Soil N,Table,0.25,0.01,4,0.02,0.25,0.01,4,0.02,Natural grassland,,,
34,Spiegelberger et al. (2009),Europe,Oceanic,Switzerland,Jura/Alps,2004,Abandon,Local,Shoot Biomass,Table,50.00,7.30,10,23.08,68.00,4.40,10,13.91,Natural grassland,,,
34,Spiegelberger et al. (2009),Europe,Oceanic,Switzerland,Jura/Alps,2004,Fert,Local,Shoot Biomass,Table,50.00,7.30,10,23.08,40.00,4.50,10,14.23,Natural grassland,,,
34,Spiegelberger et al. (2009),Europe,Oceanic,Switzerland,Jura/Alps,2004,AbandonxFert,LocalxLocal,Shoot Biomass,Table,50.00,7.30,10,23.08,61.00,4.50,10,14.23,Natural grassland,,,
35,Vogel et al. (2012),Europe,Oceanic,Germany,Jena Experiment - floodplain of the river Saale,2009,Drought,Global,ANPP,Figure,341.30,43.60,4,87.20,247.50,50.00,4,100.00,Constructed grassland,Rainout Shelters,,
35,Vogel et al. (2012),Europe,Oceanic,Germany,Jena Experiment - floodplain of the river Saale,2009,DroughtxFert,GlobalxLocal,ANPP,Figure,341.30,43.60,4,87.20,459.80,60.60,4,121.20,Constructed grassland,Rainout Shelters,,
35,Vogel et al. (2012),Europe,Oceanic,Germany,Jena Experiment - floodplain of the river Saale,2009,Fert,Local,ANPP,Figure,341.30,43.60,4,87.20,276.80,56.50,4,113.00,Constructed grassland,Rainout Shelters,,
35,Vogel et al. (2012),Europe,Oceanic,Germany,Jena Experiment - floodplain of the river Saale,2009,FertxMowingxDrought,LocalxLocal,ANPP,Figure,341.30,43.60,4,87.20,96.50,18.70,4,37.40,Constructed grassland,Rainout Shelters,,
35,Vogel et al. (2012),Europe,Oceanic,Germany,Jena Experiment - floodplain of the river Saale,2009,FertxMowingxDrought,LocalxLocal,ANPP,Figure,341.30,43.60,4,87.20,101.00,16.20,4,32.40,Constructed grassland,Rainout Shelters,,
35,Vogel et al. (2012),Europe,Oceanic,Germany,Jena Experiment - floodplain of the river Saale,2009,FertxMowing,LocalxLocal,ANPP,Figure,341.30,43.60,4,87.20,150.60,6.30,4,12.60,Constructed grassland,Rainout Shelters,,
35,Vogel et al. (2012),Europe,Oceanic,Germany,Jena Experiment - floodplain of the river Saale,2009,FertxMowing,LocalxLocal,ANPP,Figure,341.30,43.60,4,87.20,140.30,12.60,4,25.20,Constructed grassland,Rainout Shelters,,
36,Wan et al. (2007),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2004,CO2,Global,Soil respiration,Figure,0.29,0.05,3,0.09,0.54,0.11,3,0.19,Constructed grassland,OTC,,
36,Wan et al. (2007),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2004,Drought,Global,Soil respiration,Figure,0.29,0.05,3,0.09,0.63,0.08,3,0.15,Constructed grassland,OTC,,
36,Wan et al. (2007),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2004,Warming,Global,Soil respiration,Figure,0.29,0.05,3,0.09,0.29,0.04,3,0.07,Constructed grassland,OTC,,
36,Wan et al. (2007),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2004,CO2xWarmingxDrought,GlobalxGlobal,Soil respiration,Figure,0.29,0.05,3,0.09,0.80,0.07,3,0.12,Constructed grassland,OTC,,
36,Wan et al. (2007),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2004,CO2xDrought,GlobalxGlobal,Soil respiration,Figure,0.29,0.05,3,0.09,0.92,0.15,3,0.27,Constructed grassland,OTC,,
36,Wan et al. (2007),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2004,DroughtxWarming,GlobalxGlobal,Soil respiration,Figure,0.29,0.05,3,0.09,0.59,0.13,3,0.22,Constructed grassland,OTC,,
36,Wan et al. (2007),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2004,CO2xWarming,GlobalxGlobal,Soil respiration,Figure,0.29,0.05,3,0.09,0.50,0.05,3,0.09,Constructed grassland,OTC,,
37,West et al. (2006),North America,Humid Continental,USA,Cedar Creek History Area,2003,CO2,Global,N mineralization,Figure,0.10,0.01,12,0.02,0.09,0.01,12,0.03,Constructed grassland,FACE experiment,,
37,West et al. (2006),North America,Humid Continental,USA,Cedar Creek History Area,2003,CO2xFert,GlobalxLocal,N mineralization,Figure,0.10,0.01,12,0.02,0.09,0.01,12,0.03,Constructed grassland,FACE experiment,,
37,West et al. (2006),North America,Humid Continental,USA,Cedar Creek History Area,2003,Fert,Local,N mineralization,Figure,0.10,0.01,12,0.02,0.11,0.01,12,0.03,Constructed grassland,FACE experiment,,
38,Wu et al. (2012),North America,Dry,USA,High desert grassland,2010,Warming,Global,ANPP,Table,189.00,12.70,7,33.60,50.20,18.20,7,48.15,Natural grassland,Transplantation,,
38,Wu et al. (2012),North America,Dry,USA,Pinyon-juniper woodland,2010,Warming,Global,ANPP,Table,139.40,7.10,7,18.78,212.30,24.60,7,65.09,Natural grassland,Transplantation,,
38,Wu et al. (2012),North America,Dry,USA,Meadows Ponderosa Pine forest,2010,Warming,Global,ANPP,Table,111.60,8.90,7,23.55,152.10,25.50,7,67.47,Natural grassland,Transplantation,,
38,Wu et al. (2012),North America,Dry,USA,High desert grassland,2010,DroughtxWarming,GlobalxGlobal,ANPP,Table,189.00,12.70,7,33.60,16.60,3.70,6,9.06,Natural grassland,Transplantation,,
38,Wu et al. (2012),North America,Dry,USA,Pinyon-juniper woodland,2010,DroughtxWarming,GlobalxGlobal,ANPP,Table,139.40,7.10,7,18.78,241.20,20.10,6,49.23,Natural grassland,Transplantation,,
38,Wu et al. (2012),North America,Dry,USA,Meadows Ponderosa Pine forest,2010,DroughtxWarming,GlobalxGlobal,ANPP,Table,111.60,8.90,7,23.55,178.20,17.80,6,43.60,Natural grassland,Transplantation,,
38,Wu et al. (2012),North America,Dry,USA,High desert grassland,2010,FloodxWarming,GlobalxGlobal,ANPP,Table,189.00,12.70,7,33.60,87.20,21.30,7,56.35,Natural grassland,Transplantation,,
38,Wu et al. (2012),North America,Dry,USA,Pinyon-juniper woodland,2010,FloodxWarming,GlobalxGlobal,ANPP,Table,139.40,7.10,7,18.78,248.70,29.20,7,77.26,Natural grassland,Transplantation,,
38,Wu et al. (2012),North America,Dry,USA,Meadows Ponderosa Pine forest,2010,FloodxWarming,GlobalxGlobal,ANPP,Table,111.60,8.90,7,23.55,119.30,8.30,7,21.96,Natural grassland,Transplantation,,
