,,,,,,,,,,,Control,,,,Treatment,,,,Experiment details,,,
ID,Citation,Continent,Climatic region,Country,Site,Measuring date,Treatment Type,Treatment scale,Response Variable,Source,Mean. Control,SE.Control,n.Control,SD.Control,Mean. Treatment,SE.Treatment,n.Treatment,SD.Treatment,Community type,Experimental method,,
9,Eisenhauer et al. (2012),North America,Humid Continental,USA,Cedar Creek Minesota,2010,CO2xFert,GlobalxLocal,Microbial biomass,Table,458.00,32.00,6,78.38,503.00,50.00,6,122.47,Constructed grassland,FACE experiment,,
9,Eisenhauer et al. (2012),North America,Humid Continental,USA,Cedar Creek Minesota,2010,DroughtxFert,GlobalxLocal,Microbial biomass,Table,458.00,32.00,6,78.38,340.00,50.00,6,122.47,Constructed grassland,FACE experiment,,
9,Eisenhauer et al. (2012),North America,Humid Continental,USA,Cedar Creek Minesota,2010,Fert,Local,Microbial biomass,Table,458.00,32.00,6,78.38,455.00,50.00,6,122.47,Constructed grassland,FACE experiment,,
10,Fraser et al. (2009),North America,Dry,Canada,Kamloops,2006,Drought,Global,Shoot Biomass,Figure,17.01,1.52,3,2.63,11.04,1.82,3,3.15,Natural grassland,Rainout Shelters,,
10,Fraser et al. (2009),North America,Dry,Canada,Kamloops,2006,Flood,Global,Shoot Biomass,Figure,17.01,1.52,3,2.63,18.62,1.68,3,2.91,Natural grassland,Rainout Shelters,,
10,Fraser et al. (2009),North America,Dry,Canada,Kamloops,2006,Warming,Global,Shoot Biomass,Figure,17.01,1.52,3,2.63,13.38,1.34,3,2.32,Natural grassland,Rainout Shelters,,
10,Fraser et al. (2009),North America,Dry,Canada,Kamloops,2006,DroughtxWarming,GlobalxGlobal,Shoot Biomass,Figure,17.01,1.52,3,2.63,13.68,1.38,3,2.39,Natural grassland,Rainout Shelters,,
10,Fraser et al. (2009),North America,Dry,Canada,Kamloops,2006,FloodxWarming,GlobalxGlobal,Shoot Biomass,Figure,17.01,1.52,3,2.63,21.34,4.76,3,8.24,Natural grassland,Rainout Shelters,,
11,Gao et al. (2011),Asia,Humid Continental,Mongolia,Xilin river basin,2006,Flood,Global,ANPP,Table,77.00,4.00,8,11.31,172.00,12.00,8,33.94,Natural grassland,,,
11,Gao et al. (2011),Asia,Humid Continental,Mongolia,Xilin river basin,2006,FertxFlood,GlobalxLocal,ANPP,Table,77.00,4.00,8,11.31,251.00,21.00,8,59.40,Natural grassland,,,
11,Gao et al. (2011),Asia,Humid Continental,Mongolia,Xilin river basin,2006,Fert,Local,ANPP,Table,77.00,4.00,8,11.31,79.00,4.00,8,11.31,Natural grassland,,,
11,Gao et al. (2011),Asia,Humid Continental,Mongolia,Xilin river basin,2006,Flood,Global,BNPP,Table,115.00,5.00,8,14.14,219.00,4.00,8,11.31,Natural grassland,,,
11,Gao et al. (2011),Asia,Humid Continental,Mongolia,Xilin river basin,2006,FertxFlood,GlobalxLocal,BNPP,Table,115.00,5.00,8,14.14,181.00,6.00,8,16.97,Natural grassland,,,
11,Gao et al. (2011),Asia,Humid Continental,Mongolia,Xilin river basin,2006,Fert,Local,BNPP,Table,115.00,5.00,8,14.14,109.00,5.00,8,14.14,Natural grassland,,,
12,Grime et al. (2008),Europe,Oceanic,England,"Buxton, North England",2004,Drought,Global,Shoot Biomass,Figure,377.20,63.30,5,141.54,255.70,45.60,5,101.96,Natural grassland,Rainout Shelters,,
12,Grime et al. (2008),Europe,Oceanic,England,"Buxton, North England",2004,Flood,Global,Shoot Biomass,Figure,377.20,63.30,5,141.54,364.60,86.00,5,192.30,Natural grassland,Rainout Shelters,,
12,Grime et al. (2008),Europe,Oceanic,England,"Buxton, North England",2004,Warming,Global,Shoot Biomass,Figure,377.20,63.30,5,141.54,344.30,38.00,5,84.97,Natural grassland,Rainout Shelters,,
12,Grime et al. (2008),Europe,Oceanic,England,"Buxton, North England",2004,DroughtxWarming,GlobalxGlobal,Shoot Biomass,Figure,377.20,63.30,5,141.54,283.60,88.60,5,198.12,Natural grassland,Rainout Shelters,,
